row_index,id,issue_type,severity,detail
5,ascomycota_nam_benh_qa_02,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
6,ascomycota_nam_benh_qa_03,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
8,oomycetes_benh_chunk_01,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
12,oomycetes_qa_01,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
